prec,       card,      avg_est,      std_err,      max_err
 6,           94,        96.27,     0.131154,     0.326316
 6,           94,        96.03,     0.138369,     0.252632
 6,           94,        96.27,       0.1049,     0.252632
 6,           94,        93.27,     0.102056,     0.210526
 6,           94,        94.90,     0.125298,     0.252632
 6,           95,        94.53,     0.142957,       0.3125
 6,           95,        96.20,     0.125478,     0.239583
 6,           95,        95.73,     0.106757,     0.239583
 6,           95,        90.87,    0.0993875,       0.1875
 6,           95,        97.63,     0.131747,     0.395833
 6,           96,        99.67,     0.127562,     0.226804
 6,           96,        94.50,     0.101787,     0.226804
 6,           96,        91.27,     0.116668,     0.226804
 6,           96,        97.87,     0.115626,     0.226804
 6,           96,        97.40,     0.110439,     0.298969
 6,           96,        94.07,     0.101553,      0.28866
 6,           97,        99.17,     0.108073,     0.214286
 6,           97,       103.80,     0.137687,     0.367347
 6,           97,        96.23,     0.117006,     0.234694
 6,           97,        96.10,     0.137569,     0.285714
 6,           97,        97.97,     0.126672,     0.285714
 6,           98,        96.97,     0.103232,     0.212121
 6,           98,       101.73,      0.15556,     0.434343
 6,           98,       102.23,     0.150396,     0.535354
 6,           98,       100.47,     0.132101,     0.353535
 6,           98,       101.67,     0.137145,     0.353535
 6,           99,       100.53,     0.106058,         0.26
 6,           99,       102.17,     0.144973,         0.34
 6,           99,        98.03,     0.121811,         0.34
 6,           99,       101.67,     0.131961,         0.34
 6,           99,       105.27,      0.12736,         0.26
 6,          100,       104.87,     0.123225,     0.247525
 6,          100,       100.50,      0.14513,     0.405941
 6,          100,        97.23,     0.129342,     0.257426
 6,          100,       101.83,     0.138162,      0.50495
 6,          100,       103.17,     0.131467,     0.247525
 6,          100,       101.83,     0.104216,     0.247525
 6,          101,       102.77,    0.0988305,     0.264706
 6,          101,       107.40,     0.173267,     0.392157
 6,          101,       101.07,     0.104804,     0.264706
 6,          101,        99.73,    0.0991151,     0.235294
 6,          101,       105.13,     0.163322,     0.392157
 6,          102,       102.03,      0.10059,     0.242718
 6,          102,       105.80,     0.138669,     0.378641
 6,          102,       105.23,     0.123743,     0.300971
 6,          102,       103.50,       0.1161,     0.300971
 6,          102,       103.67,     0.140993,     0.378641
 6,          103,       109.30,     0.149506,     0.365385
 6,          103,       106.23,     0.141531,     0.461538
 6,          103,       108.10,     0.141463,     0.288462
 6,          103,       104.57,     0.110371,     0.288462
 6,          103,       107.10,      0.14712,     0.365385
 6,          104,       101.50,     0.107299,     0.219048
 6,          104,       105.07,     0.139389,     0.352381
 6,          104,       106.37,     0.109606,          0.2
 6,          104,       103.77,     0.121746,      0.27619
 6,          104,       103.33,    0.0980855,     0.219048
 6,          105,       106.03,     0.140246,     0.264151
 6,          105,       111.33,     0.123178,     0.264151
 6,          105,       108.83,     0.131528,     0.339623
 6,          105,       102.77,     0.114273,     0.320755
 6,          105,       103.00,      0.11987,     0.292453
 6,          105,       105.70,    0.0709659,     0.188679
 6,          106,       108.33,     0.142393,     0.327103
 6,          106,       107.57,     0.113285,     0.252336
 6,          106,       109.40,     0.118496,     0.252336
 6,          106,       105.83,     0.138805,     0.327103
 6,          106,       104.83,     0.108699,     0.205607
 6,          107,       109.93,     0.134641,     0.314815
 6,          107,       105.83,     0.103436,     0.314815
 6,          107,       107.37,     0.116374,     0.240741
 6,          107,       112.80,      0.19314,     0.518519
 6,          107,       106.87,     0.107432,     0.240741
 6,          108,       106.57,     0.111154,     0.229358
 6,          108,       107.03,     0.106023,     0.220183
 6,          108,       111.10,      0.12578,     0.302752
 6,          108,       108.97,     0.136556,     0.394495
 6,          108,       110.90,     0.144708,     0.504587
 6,          109,       106.97,     0.122376,     0.290909
 6,          109,       110.20,     0.121804,     0.290909
 6,          109,       106.90,    0.0819226,     0.190909
 6,          109,       109.53,    0.0931388,     0.218182
 6,          109,       110.87,     0.110647,     0.290909
